match_id,game_creation,game_duration,game_version,queue_id,win,champion_id,champion_name,kills,deaths,assists,total_cs,cs_per_min,gold_earned,damage_dealt,vision_score,first_blood,first_blood_assist,cs_at_1min,cs_at_2min,cs_at_3min,cs_at_4min,cs_at_5min,camp_sequence,first_camp,first_camp_time,camps_cleared_by_5min,first_scuttle_time,first_gank_time,ganks_by_5min,primary_tree,keystone,rune_1,rune_2,rune_3,secondary_tree,rune_4,rune_5,stat_shard_1,stat_shard_2,stat_shard_3,summoner_1,summoner_2,item_build_order,mythic_completion_time,control_wards_bought,total_items_purchased,gold_at_5min,current_gold_at_5min,xp_at_5min,level_at_5min,damage_dealt_at_5min,damage_taken_at_5min,gold_at_10min,current_gold_at_10min,xp_at_10min,level_at_10min,cs_at_10min,damage_dealt_at_10min,damage_taken_at_10min,gold_at_15min,current_gold_at_15min,xp_at_15min,level_at_15min,cs_at_15min,damage_dealt_at_15min,damage_taken_at_15min,gold_at_20min,current_gold_at_20min,xp_at_20min,level_at_20min,cs_at_20min,damage_dealt_at_20min,damage_taken_at_20min,dragons_killed,dragons_stolen,herald_killed,baron_killed,turrets_killed,first_turret,first_dragon_time,herald_time,baron_time,wards_placed,wards_destroyed,control_wards_placed,vision_denial_score,time_top_side_pct,time_bot_side_pct,avg_position_x,avg_position_y,distance_traveled,skill_order,max_order,kill_participation_pct,solo_kills,damage_taken_total,damage_mitigated,avg_death_time,ally_top,ally_jungle,ally_mid,ally_bot,ally_support,enemy_top,enemy_jungle,enemy_mid,enemy_bot,enemy_support,team_total_kills,enemy_total_kills,team_total_gold,enemy_total_gold,enemy_jungle_kda,enemy_jungle_damage,enemy_jungle_cs,enemy_jungle_gold
KR_7898846958,1762270784847,1467,15.21.721.8442,420,True,107,Rengar,4,3,3,245,10.02,11655,11763,28,False,False,1,1,9.0,25.0,33.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->3364@120s->3134@300s->3142@600s->2022@600s->1001@720s->2055@720s->3077@900s->3158@1020s->1036@1020s->1036@1020s->3814@1260s->1036@1260s,,1,18,1657.0,152.0,1520.0,4.0,374.0,4848.0,3570.0,10.0,4012.0,7.0,79.0,2659.0,11465.0,5555.0,404.0,6375.0,10.0,121.0,5224.0,17014.0,8486.0,2286.0,10509.0,13.0,183.0,7118.0,23542.0,1,0,1,0,2,False,780.326,1080.395,,2,9,1,9,34.6,65.4,6763.2,6541.4,141288.2,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R,Q,35.0,1,29610,16850,346.1,Sion,,Azir,Lucian,Taric,Jax,LeeSin,Taliyah,Mel,Poppy,20,20,51088,43919,14.0,17442,131,10451
KR_7898754384,1762266991041,1569,15.21.721.8442,420,True,107,Rengar,22,4,7,255,9.75,19129,43368,40,False,False,0,4,20.0,26.0,38.0,,,,0,,240.04,3,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->3134@240s->6690@240s->3142@420s->1001@420s->3364@420s->2022@420s->1036@540s->3077@660s->3158@660s->1036@660s->1036@660s->3134@780s->1036@780s,,2,23,2741.0,516.0,2013.0,5.0,1070.0,4149.0,5424.0,1259.0,4129.0,8.0,76.0,6438.0,10469.0,8143.0,1428.0,7870.0,11.0,134.0,10883.0,18056.0,13628.0,144.0,12642.0,14.0,177.0,23886.0,23893.0,1,0,0,1,4,False,1440.398,,1560.435,4,12,2,12,35.7,64.3,7396.8,6347.3,176397.2,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R->W->W,Q,74.4,4,35214,21183,553.4,Riven,,Vex,Velkoz,Poppy,KSante,JarvanIV,Orianna,Kaisa,Leona,39,27,61120,48666,1.89,12961,132,9763
KR_7898622916,1762263203828,1946,15.21.721.8442,420,True,107,Rengar,12,6,4,278,8.57,16499,24133,26,False,False,0,4,16.0,24.0,32.0,,,,0,,240.102,1,8000,8021,9111,9104,8017,8100,8143,8105,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->1037@300s->3364@300s->1001@300s->1036@360s->2020@480s->1036@480s->6699@600s->1036@660s->1036@660s->3077@780s->3158@780s->3134@960s,,1,28,2027.0,352.0,1693.0,4.0,778.0,4570.0,3908.0,108.0,3695.0,7.0,68.0,3375.0,11873.0,6496.0,891.0,7191.0,10.0,122.0,7162.0,18516.0,9705.0,740.0,10891.0,13.0,168.0,11040.0,24326.0,2,0,0,1,3,False,720.253,,1800.56,3,4,1,4,55.9,44.1,9177.4,8258.0,191686.0,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R->W->W,Q,53.3,2,41922,26052,913.2,RekSai,,Galio,Varus,Bard,Sion,Hecarim,Orianna,Sivir,Elise,30,28,69636,62901,2.71,26613,253,15068
KR_7897428570,1762178138152,914,15.21.721.8442,420,True,107,Rengar,6,1,2,106,6.96,7016,8658,15,False,False,0,4,16.0,28.0,36.0,,,,0,,240.073,1,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->3134@300s->6690@480s->1001@480s->1036@480s->3364@480s->3142@540s->3134@660s->2055@660s->3077@840s->1036@840s->3158@900s,,1,14,2067.0,567.0,1792.0,5.0,584.0,4433.0,4662.0,1052.0,3712.0,7.0,68.0,5272.0,10790.0,6988.0,143.0,6294.0,10.0,106.0,8658.0,16197.0,,,,,,,,2,0,0,0,0,False,420.162,,,4,4,1,4,58.8,41.2,9343.0,8332.2,86481.6,Q->W->E->Q->Q->R->Q->E->Q->E,Q,38.1,0,16197,7571,865.5,Riven,,Orianna,Aphelios,Lulu,Ambessa,JarvanIV,Ryze,Kaisa,Blitzcrank,21,7,33671,24715,0.67,3194,96,5599
KR_7897213662,1762171721253,1298,15.21.721.8442,420,True,107,Rengar,15,3,5,183,8.46,13588,23932,24,False,False,0,4,20.0,24.0,32.0,,,,0,,240.041,1,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->3134@240s->3364@240s->2055@240s->6690@420s->1036@420s->1001@420s->3142@540s->1036@540s->3077@660s->6698@900s->3158@900s->2055@900s->3134@960s,,3,21,1963.0,438.0,1726.0,5.0,1352.0,4183.0,4630.0,655.0,4167.0,8.0,71.0,4563.0,9787.0,7760.0,605.0,7124.0,10.0,114.0,8029.0,15586.0,12532.0,1593.0,12394.0,14.0,163.0,20994.0,23018.0,1,0,1,0,4,True,1140.4,1020.396,,5,3,3,3,47.8,52.2,6425.0,7024.5,149157.8,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W,Q,74.1,4,26772,14635,460.5,Ambessa,,Aurora,Lucian,Rakan,RekSai,Zed,Syndra,Ezreal,Bard,27,10,49021,35716,1.17,10555,141,9028
KR_7897019963,1762164351332,1343,15.21.721.8442,420,True,107,Rengar,14,4,9,178,7.95,14489,24563,21,False,False,0,4,20.0,28.0,28.0,,,,0,,240.157,3,8000,8021,9111,9104,8017,8100,8143,8105,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->1037@300s->1036@300s->1036@300s->1001@300s->3364@300s->2020@300s->3158@420s->6699@540s->3134@720s->1036@780s->6698@1020s->1036@1020s,,0,19,2910.0,73.0,1567.0,4.0,2829.0,4132.0,4874.0,469.0,4143.0,8.0,63.0,4892.0,8965.0,6984.0,1224.0,7128.0,10.0,111.0,8449.0,16238.0,12171.0,2691.0,11355.0,13.0,151.0,17872.0,26260.0,1,0,1,0,5,False,1260.534,1140.491,,2,7,0,7,50.0,50.0,7117.1,7326.6,137310.5,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W,Q,59.0,4,31055,16014,680.3,RekSai,,Orianna,Ezreal,Alistar,Gnar,Nidalee,Sion,Kaisa,Rell,39,21,54949,43410,1.27,21545,131,10419
KR_7896447616,1762102201784,1099,15.21.721.8442,420,True,107,Rengar,10,4,2,144,7.86,9891,14019,12,False,False,0,4,16.0,24.0,33.0,,,,0,,240.069,1,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->3134@240s->6690@420s->1001@420s->3364@420s->3142@480s->1036@600s->1036@600s->3077@720s->1036@720s->1036@780s->6698@960s->2055@960s->3134@1020s,,1,17,2279.0,824.0,1709.0,4.0,1599.0,3999.0,4415.0,160.0,3949.0,7.0,73.0,4082.0,9030.0,6954.0,1499.0,7457.0,11.0,111.0,10676.0,17626.0,,,,,,,,1,0,1,0,0,False,840.318,960.358,,2,2,0,2,55.0,45.0,8771.9,8224.5,119434.3,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E,Q,50.0,3,22551,11771,620.3,Gangplank,,Akali,Ezreal,Rakan,RekSai,Qiyana,Syndra,Kaisa,Pyke,24,10,41280,32442,0.62,5454,111,6460
KR_7896143371,1762090493618,1674,15.21.721.8442,420,False,107,Rengar,3,7,3,216,7.74,11821,15084,25,False,False,0,4,20.0,28.0,32.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->3134@300s->1036@420s->3364@420s->6690@660s->1036@660s->3142@660s->1001@720s->2055@720s->3134@840s->1036@960s->1036@1020s->3077@1140s->1036@1140s,,1,24,1643.0,193.0,1569.0,4.0,1255.0,4589.0,3238.0,1428.0,3583.0,7.0,68.0,3655.0,11282.0,5162.0,527.0,6321.0,10.0,102.0,6879.0,19531.0,6727.0,537.0,8129.0,11.0,128.0,7797.0,26365.0,1,0,1,0,3,True,960.405,1020.421,,3,9,1,9,27.6,72.4,6134.7,5271.3,205255.0,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R,Q,30.0,3,42024,20883,873.5,Singed,,Leblanc,Corki,Taric,Fiora,Qiyana,Vex,Nilah,Alistar,20,32,54078,65087,3.0,17971,213,12761
KR_7896049169,1762088027130,912,15.21.721.8442,420,True,107,Rengar,4,1,4,126,8.29,6739,7749,11,False,False,0,4,12.0,20.0,32.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->1036@180s->3134@480s->6690@480s->1001@480s->1036@540s->3364@540s->3142@720s->3158@720s->1036@720s->3077@900s->2020@900s,,0,13,1643.0,843.0,1539.0,4.0,582.0,3235.0,4000.0,1115.0,3877.0,7.0,78.0,3392.0,8578.0,6714.0,16.0,7766.0,11.0,126.0,7749.0,16692.0,,,,,,,,2,0,0,0,1,False,480.235,,,3,2,0,2,29.4,70.6,5702.1,5814.0,101240.7,Q->W->E->Q->Q->R->Q->E->Q->E->R,Q,42.1,2,16692,7876,669.8,Shen,,Aurora,Caitlyn,Shaco,Pantheon,Ekko,Ambessa,Varus,Rakan,19,4,30829,24688,0.0,2125,89,4454
KR_7895815687,1762081764147,1438,15.21.721.8442,420,False,107,Rengar,6,4,7,203,8.47,11328,14782,20,False,False,0,4,16.0,28.0,36.0,,,,0,,240.126,1,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->3134@300s->1001@300s->1036@360s->3364@360s->3142@540s->3077@720s->1037@900s->2022@900s->6698@1020s->2055@1020s->1036@1140s->3158@1140s->3035@1260s,,1,17,2081.0,331.0,1954.0,5.0,238.0,3641.0,4187.0,632.0,4521.0,8.0,75.0,1131.0,8891.0,6116.0,231.0,7544.0,11.0,120.0,4228.0,15600.0,8648.0,1553.0,10768.0,13.0,163.0,7745.0,21814.0,2,0,0,0,0,True,540.227,,,2,5,0,5,64.0,36.0,9832.8,9561.3,143059.7,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R,Q,61.9,4,28261,16623,1059.9,Gnar,,Sylas,Varus,Pantheon,KSante,Lillia,Irelia,Kaisa,Alistar,21,25,48074,52462,2.4,13853,156,10516
